time,tmin,tmax
2023-08-01,26.1,32.3
2023-08-02,25.2,31.1
2023-08-03,26.6,31.0
2023-08-04,27.0,32.2
2023-08-05,27.0,28.0
2023-08-06,25.6,28.5
2023-08-07,26.0,28.0
2023-08-08,25.8,30.0
2023-08-09,24.9,29.2
2023-08-10,25.8,32.9
2023-08-11,27.0,34.0
2023-08-12,28.0,34.3
2023-08-13,26.8,33.0
2023-08-14,25.5,34.3
2023-08-15,25.8,34.8
2023-08-16,26.8,35.3
2023-08-17,26.7,31.0
2023-08-18,26.0,34.1
2023-08-19,26.6,32.0
2023-08-20,27.2,34.8
2023-08-21,26.6,34.6
2023-08-22,26.0,31.2
2023-08-23,25.4,32.9
2023-08-24,26.9,29.6
2023-08-25,26.6,31.6
2023-08-26,27.0,32.7
2023-08-27,26.6,33.2
2023-08-28,25.2,33.8
2023-08-29,25.1,33.8
2023-08-30,25.3,34.3
2023-08-31,26.2,34.5
2023-09-01,27.4,35.6
2023-09-02,28.0,36.0
2023-09-03,24.0,36.4
2023-09-04,24.2,31.1
2023-09-05,25.1,32.4
2023-09-06,24.3,33.4
2023-09-07,25.0,33.5
2023-09-08,25.8,33.4
2023-09-09,25.2,32.0
2023-09-10,26.4,35.0
2023-09-11,26.1,35.5
2023-09-12,27.4,35.6
2023-09-13,26.8,35.2
2023-09-14,27.5,33.0
2023-09-15,26.8,33.0
2023-09-16,26.6,33.4
2023-09-17,26.0,35.6
2023-09-18,25.3,34.3
2023-09-19,25.3,33.7
2023-09-20,25.8,32.1
2023-09-21,25.2,31.1
2023-09-22,25.6,28.0
2023-09-23,25.0,28.0
2023-09-24,24.6,31.0
2023-09-25,25.6,31.5
2023-09-26,24.5,33.0
2023-09-27,25.0,33.0
2023-09-28,25.0,34.0
2023-09-29,25.7,34.2
2023-09-30,22.5,30.8
2023-10-01,24.0,28.6
2023-10-02,25.0,31.4
2023-10-03,25.5,30.2
2023-10-04,25.0,29.2
2023-10-05,24.4,28.1
2023-10-06,24.5,31.9
2023-10-07,24.4,33.3
2023-10-08,24.3,33.2
2023-10-09,24.0,34.0
2023-10-10,24.6,34.2
2023-10-11,23.8,34.0
2023-10-12,24.0,33.0
2023-10-13,22.0,34.8
2023-10-14,22.4,33.2
2023-10-15,21.0,34.0
2023-10-16,23.0,33.6
2023-10-17,21.0,31.0
2023-10-18,22.0,30.0
2023-10-19,19.6,31.0
2023-10-20,19.8,30.0
2023-10-21,18.0,30.6
2023-10-22,17.6,30.0
2023-10-23,17.0,30.0
2023-10-24,20.0,30.0
2023-10-25,20.0,30.0
2023-10-26,19.0,31.0
2023-10-27,17.8,30.2
2023-10-28,18.0,31.0
2023-10-29,17.0,31.0
2023-10-30,17.4,30.4
2023-10-31,18.0,31.0
2023-11-01,19.0,30.0
2023-11-02,19.0,30.8
2023-11-03,19.0,30.8
2023-11-04,18.0,31.0
2023-11-05,17.0,31.0
2023-11-06,16.0,30.4
2023-11-07,16.8,28.6
2023-11-08,16.0,30.0
2023-11-09,16.0,30.4
2023-11-10,16.0,30.0
2023-11-11,17.0,31.0
2023-11-12,18.0,27.0
2023-11-13,17.0,29.2
2023-11-14,15.0,29.0
2023-11-15,15.0,29.0
2023-11-16,14.0,29.0
2023-11-17,18.0,29.4
2023-11-18,19.0,30.0
2023-11-19,16.8,30.0
2023-11-20,16.0,29.6
2023-11-21,15.6,28.2
2023-11-22,14.2,27.2
2023-11-23,13.0,27.2
2023-11-24,13.0,27.2
2023-11-25,12.0,28.0
2023-11-26,11.0,27.0
2023-11-27,13.0,26.6
2023-11-28,16.0,25.6
2023-11-29,16.0,27.8
2023-11-30,16.0,25.8
2023-12-01,17.8,24.8
2023-12-02,19.0,28.3
2023-12-03,15.8,29.1
2023-12-04,15.6,28.4
2023-12-05,18.4,26.0
2023-12-06,19.0,23.3
2023-12-07,18.0,19.8
2023-12-08,17.0,24.1
2023-12-09,14.0,26.2
2023-12-10,12.0,25.0
2023-12-11,10.0,24.4
2023-12-12,9.0,24.4
2023-12-13,10.0,24.4
2023-12-14,9.0,23.2
2023-12-15,9.2,24.0
2023-12-16,9.0,24.4
2023-12-17,8.0,23.4
2023-12-18,8.0,23.0
2023-12-19,7.6,23.0
2023-12-20,8.0,21.8
2023-12-21,7.8,23.0
2023-12-22,7.0,24.0
2023-12-23,14.5,25.2
2023-12-24,10.4,26.2
2023-12-25,11.0,26.0
2023-12-26,12.7,24.0
2023-12-27,11.0,24.0
2023-12-28,11.0,24.0
2023-12-29,11.0,18.0
2023-12-30,14.0,16.6
2023-12-31,10.0,17.0
