Date,Price,Open,High,Low,Volume,Chg%
"Dec 02, 2020","48,643","48,499","48,849","48,400",0.01K,0.76%
"Dec 01, 2020","48,275","48,194","48,559","47,705",0.04K,1.01%
"Nov 30, 2020","47,792","47,680","47,966","47,550",0.46K,-0.69%
"Nov 27, 2020","48,125","48,508","48,647","47,800",10.10K,-0.81%
"Nov 26, 2020","48,517","48,524","48,800","48,425",7.89K,0.01%
"Nov 25, 2020","48,513","48,497","48,885","48,390",12.33K,-0.15%
"Nov 24, 2020","48,585","49,262","49,262","48,514",16.73K,-1.81%
"Nov 23, 2020","49,480","50,234","50,350","49,291",15.17K,-1.46%
"Nov 20, 2020","50,212","50,041","50,435","49,857",10.73K,0.44%
"Nov 19, 2020","49,992","50,200","50,200","49,720",12.67K,-0.66%
"Nov 18, 2020","50,325","50,600","50,646","50,053",12.96K,-0.87%
"Nov 17, 2020","50,766","50,800","51,029","50,703",10.09K,-0.13%
"Nov 16, 2020","50,830","50,931","51,015","50,150",7.83K,-0.18%
"Nov 14, 2020","50,922","51,015","51,080","50,870",1.00K,0.00%
"Nov 13, 2020","50,922","50,665","51,139","50,609",9.40K,0.64%
"Nov 12, 2020","50,600","50,315","50,790","50,217",11.19K,0.86%
"Nov 11, 2020","50,169","50,444","50,525","49,944",12.49K,-0.66%
"Nov 10, 2020","50,501","49,931","50,664","49,931",14.41K,1.51%
"Nov 09, 2020","49,748","52,270","52,520","49,500",26.54K,-4.64%
"Nov 06, 2020","52,167","51,912","52,450","51,711",14.87K,0.22%
"Nov 05, 2020","52,055","51,231","52,176","51,161",13.98K,2.43%
"Nov 04, 2020","50,820","51,320","51,465","50,773",14.82K,-1.51%
"Nov 03, 2020","51,598","50,950","51,630","50,789",10.88K,1.04%
"Nov 02, 2020","51,067","50,777","51,099","50,612",9.51K,0.73%
"Oct 30, 2020","50,699","50,465","50,870","50,353",10.54K,0.83%
"Oct 29, 2020","50,282","50,446","50,617","50,070",13.33K,-0.42%
"Oct 28, 2020","50,495","51,065","51,065","50,230",14.73K,-0.91%
"Oct 27, 2020","50,961","51,065","51,114","50,704",11.06K,0.06%
"Oct 26, 2020","50,930","50,690","51,125","50,552",11.40K,0.18%
"Oct 23, 2020","50,839","50,865","51,040","50,643",10.62K,0.14%
"Oct 22, 2020","50,766","51,199","51,199","50,535",11.85K,-1.10%
"Oct 21, 2020","51,333","50,950","51,454","50,915",13.37K,0.83%
"Oct 20, 2020","50,910","50,600","50,940","50,491",11.14K,0.44%
"Oct 19, 2020","50,687","50,552","50,940","50,437",9.82K,0.28%
"Oct 16, 2020","50,547","50,586","50,813","50,452",8.89K,-0.33%
"Oct 15, 2020","50,712","50,314","50,749","50,280",12.14K,0.34%
"Oct 14, 2020","50,542","50,369","50,740","50,270",10.79K,0.59%
"Oct 13, 2020","50,245","50,870","51,078","50,110",14.10K,-1.69%
"Oct 12, 2020","51,107","50,940","51,184","50,830",8.54K,0.57%
"Oct 09, 2020","50,817","50,300","50,970","50,300",11.95K,1.28%
"Oct 08, 2020","50,175","49,972","50,399","49,924",10.97K,0.25%
"Oct 07, 2020","50,048","50,270","50,361","49,880",12.47K,-0.95%
"Oct 06, 2020","50,526","50,468","50,982","50,445",11.18K,0.74%
"Oct 05, 2020","50,157","50,600","50,600","50,100",0.02K,-0.62%
"Oct 01, 2020","50,470","50,400","50,940","50,300",0.01K,0.13%
"Sep 30, 2020","50,404","50,559","50,860","50,150",0.11K,-0.55%
"Sep 29, 2020","50,681","50,194","50,739","50,059",0.68K,1.09%
"Sep 28, 2020","50,133","49,474","50,197","49,315",5.68K,0.95%
"Sep 25, 2020","49,659","49,826","49,900","49,380",10.62K,-0.49%
"Sep 24, 2020","49,904","49,400","50,050","49,248",15.56K,0.80%
"Sep 23, 2020","49,508","50,380","50,380","49,444",17.93K,-1.73%
"Sep 22, 2020","50,381","50,560","50,686","50,129",12.78K,-0.18%
"Sep 21, 2020","50,471","51,650","51,650","49,815",19.07K,-2.41%
"Sep 18, 2020","51,715","51,559","51,849","51,453",10.02K,0.51%
"Sep 17, 2020","51,453","51,710","51,710","51,181",12.78K,-0.72%
"Sep 16, 2020","51,824","51,839","52,127","51,750",11.40K,0.11%
"Sep 15, 2020","51,769","51,850","52,182","51,561",12.38K,0.16%
"Sep 14, 2020","51,687","51,599","51,847","51,334",10.65K,0.72%
"Sep 11, 2020","51,319","51,431","51,684","51,224",9.56K,-0.88%
"Sep 10, 2020","51,774","51,430","51,851","51,242",10.82K,0.72%
"Sep 09, 2020","51,402","51,165","51,480","50,872",12.11K,0.10%
"Sep 08, 2020","51,353","50,800","51,406","50,629",14.83K,0.56%
"Sep 07, 2020","51,065","50,801","51,200","50,680",6.72K,0.76%
"Sep 04, 2020","50,678","50,865","51,082","50,362",13.11K,-0.13%
"Sep 03, 2020","50,742","50,964","51,068","50,500",14.34K,-0.16%
"Sep 02, 2020","50,821","51,449","51,555","50,696",14.49K,-1.32%
"Sep 01, 2020","51,502","52,000","52,100","51,303",11.76K,-0.38%
"Aug 31, 2020","51,701","51,540","51,875","51,460",13.26K,0.49%
"Aug 28, 2020","51,448","50,890","51,750","50,890",16.28K,1.07%
"Aug 27, 2020","50,902","51,601","52,160","50,533",21.22K,-1.69%
"Aug 26, 2020","51,779","51,165","51,876","50,551",16.33K,1.68%
"Aug 25, 2020","50,924","51,350","51,533","50,820",12.49K,-0.67%
"Aug 24, 2020","51,269","51,860","52,232","51,160",13.93K,-1.44%
"Aug 21, 2020","52,016","52,160","52,409","51,239",16.22K,-0.26%
"Aug 20, 2020","52,151","52,550","52,550","51,721",15.61K,-0.90%
"Aug 19, 2020","52,622","53,450","53,493","52,302",14.80K,-1.77%
"Aug 18, 2020","53,571","53,415","53,999","51,800",19.28K,0.56%
"Aug 17, 2020","53,275","52,151","53,443","52,113",12.90K,2.01%
"Aug 14, 2020","52,227","52,675","52,797","51,840",14.51K,-1.33%
"Aug 13, 2020","52,930","52,365","53,038","51,802",14.84K,1.29%
"Aug 12, 2020","52,254","51,650","52,598","49,955",27.25K,0.63%
"Aug 11, 2020","51,929","54,750","54,750","51,712",27.98K,-5.49%
"Aug 10, 2020","54,946","55,049","55,449","54,861",10.97K,0.29%
"Aug 07, 2020","54,789","55,965","56,191","54,690",18.31K,-1.89%
"Aug 06, 2020","55,845","55,265","56,079","55,241",16.22K,1.16%
"Aug 05, 2020","55,207","54,900","55,450","54,900",0.01K,2.11%
"Aug 04, 2020","54,064","54,223","54,560","53,708",0.02K,0.12%
"Aug 03, 2020","53,997","54,194","54,199","53,564",0.08K,0.31%
"Jul 31, 2020","53,828","53,526","53,920","53,450",0.54K,1.30%
"Jul 30, 2020","53,138","53,390","53,429","52,700",3.12K,-0.09%
"Jul 29, 2020","53,187","52,550","53,399","52,364",13.37K,1.13%
"Jul 28, 2020","52,591","52,186","52,698","51,277",19.55K,0.94%
"Jul 27, 2020","52,101","51,749","52,220","51,657",13.40K,2.09%
"Jul 24, 2020","51,035","50,809","51,184","50,570",12.22K,0.66%
"Jul 23, 2020","50,700","50,191","50,936","50,125",16.87K,1.24%
"Jul 22, 2020","50,078","49,931","50,199","49,630",18.01K,1.11%
"Jul 21, 2020","49,527","49,078","49,579","49,036",12.61K,1.02%
"Jul 20, 2020","49,027","48,910","49,175","48,858",9.86K,0.12%
"Jul 17, 2020","48,967","48,796","49,025","48,713",10.25K,0.40%
"Jul 16, 2020","48,773","49,104","49,245","48,727",10.92K,-0.79%
"Jul 15, 2020","49,159","49,228","49,270","48,914",12.50K,-0.20%
"Jul 14, 2020","49,259","49,050","49,291","48,770",13.40K,0.23%
"Jul 13, 2020","49,148","49,046","49,265","48,915",11.66K,0.58%
"Jul 10, 2020","48,863","48,919","49,230","48,710",13.60K,-0.03%
"Jul 09, 2020","48,878","49,139","49,312","48,756",15.86K,-0.57%
"Jul 08, 2020","49,159","48,704","49,348","48,642",14.92K,0.74%
"Jul 07, 2020","48,800","48,210","48,825","48,101",15.36K,1.19%
"Jul 06, 2020","48,225","47,970","48,285","47,775",14.51K,0.37%
"Jul 03, 2020","48,046","48,053","48,190","47,950",8.76K,-0.23%
"Jul 02, 2020","48,158","48,174","48,273","47,606",16.48K,-0.23%
"Jul 01, 2020","48,267","48,814","48,982","48,051",17.22K,-1.02%
"Jun 30, 2020","48,762","48,270","48,825","48,180",14.23K,1.07%
"Jun 29, 2020","48,244","48,365","48,462","48,150",10.05K,-0.13%
"Jun 26, 2020","48,305","47,902","48,348","47,700",16.17K,0.76%
"Jun 25, 2020","47,941","48,114","48,173","47,823",12.37K,-0.40%
"Jun 24, 2020","48,134","48,333","48,589","48,035",17.25K,-0.20%
"Jun 23, 2020","48,232","47,864","48,272","47,731",13.90K,0.60%
"Jun 22, 2020","47,944","48,000","48,289","47,792",12.35K,0.01%
"Jun 19, 2020","47,937","47,399","47,980","47,328",11.46K,1.23%
"Jun 18, 2020","47,355","47,301","47,619","47,110",12.94K,0.04%
"Jun 17, 2020","47,338","47,450","47,483","46,967",11.89K,-0.48%
"Jun 16, 2020","47,567","47,180","47,650","46,960",14.47K,1.15%
"Jun 15, 2020","47,026","47,199","47,246","46,546",12.92K,-0.65%
"Jun 12, 2020","47,334","47,150","47,550","47,065",11.83K,-0.17%
"Jun 11, 2020","47,414","46,750","47,680","46,750",16.91K,1.69%
"Jun 10, 2020","46,626","46,602","46,949","46,554",9.88K,0.07%
"Jun 09, 2020","46,594","46,075","46,737","45,950",13.28K,1.07%
"Jun 08, 2020","46,101","45,793","46,160","45,748",10.22K,-0.91%
"Jun 05, 2020","46,526","46,750","46,750","46,301",0.00K,-0.43%
"Jun 04, 2020","46,727","46,599","46,904","46,599",0.01K,1.36%
"Jun 03, 2020","46,099","46,700","46,700","45,900",0.04K,-1.49%
"Jun 02, 2020","46,796","47,170","47,200","46,600",0.06K,-0.61%
"Jun 01, 2020","47,083","46,571","47,300","46,520",0.41K,0.92%
"May 29, 2020","46,654","46,523","46,868","46,394",7.90K,0.54%
"May 28, 2020","46,405","46,444","46,860","46,288",10.59K,-0.27%
"May 27, 2020","46,531","46,307","46,570","45,775",13.87K,0.45%
"May 26, 2020","46,322","47,049","47,150","46,257",13.66K,-1.39%
"May 25, 2020","46,973","46,808","47,050","46,650",4.16K,-0.18%
"May 22, 2020","47,056","46,466","47,130","46,464",11.30K,1.44%
"May 21, 2020","46,388","47,050","47,050","46,241",10.90K,-1.58%
"May 20, 2020","47,131","47,181","47,354","46,800",10.94K,0.17%
"May 19, 2020","47,050","46,802","47,181","46,481",12.21K,0.85%
"May 18, 2020","46,655","47,659","47,980","46,559",16.31K,-1.53%
"May 15, 2020","47,381","46,711","47,462","46,641",12.37K,1.56%
"May 14, 2020","46,654","46,062","46,795","46,062",13.05K,1.46%
"May 13, 2020","45,981","45,613","46,090","45,501",11.10K,0.78%
"May 12, 2020","45,625","45,878","45,970","45,544",10.99K,-0.34%
"May 11, 2020","45,781","45,801","45,960","45,590",9.79K,-0.07%
"May 08, 2020","45,812","46,377","46,377","45,755",11.23K,-0.76%
"May 07, 2020","46,161","45,430","46,209","45,340",9.32K,1.74%
"May 06, 2020","45,371","45,641","45,848","45,320",9.54K,-0.83%
"May 05, 2020","45,751","45,527","45,784","45,311",8.78K,-0.12%
"May 04, 2020","45,807","45,565","45,978","45,461",8.80K,0.62%
"May 01, 2020","45,527","45,008","45,600","44,750",7.40K,1.38%
"Apr 30, 2020","44,906","45,801","45,940","44,740",11.96K,-1.41%
"Apr 29, 2020","45,546","45,925","46,177","45,460",10.50K,-1.13%
"Apr 28, 2020","46,066","46,000","46,133","45,576",10.14K,-0.27%
"Apr 27, 2020","46,191","46,511","46,650","46,125",9.20K,-0.72%
"Apr 24, 2020","46,527","46,322","46,900","46,110",10.86K,0.22%
"Apr 23, 2020","46,427","46,280","46,733","46,166",9.88K,0.56%
"Apr 22, 2020","46,167","45,768","46,245","45,560",7.77K,1.86%
"Apr 21, 2020","45,325","45,825","46,289","45,050",8.99K,-0.85%
"Apr 20, 2020","45,714","45,465","45,795","45,310",6.65K,-0.05%
"Apr 17, 2020","45,735","46,700","46,700","45,614",8.04K,-3.22%
"Apr 16, 2020","47,258","46,600","47,327","46,526",4.89K,1.17%
"Apr 15, 2020","46,710","46,445","46,785","46,060",6.98K,0.92%
"Apr 13, 2020","46,286","45,800","46,385","45,622",4.86K,2.19%
"Apr 09, 2020","45,294","44,838","45,327","44,838",3.27K,0.79%
"Apr 08, 2020","44,941","44,777","45,036","44,686",3.16K,-0.31%
"Apr 07, 2020","45,081","44,000","45,724","44,000",5.49K,2.57%
"Apr 03, 2020","43,953","44,657","45,800","43,650",0.06K,1.37%
"Apr 01, 2020","43,357","43,261","43,550","43,080",0.01K,0.24%
"Mar 31, 2020","43,255","43,799","43,840","43,130",0.07K,-1.34%
"Mar 30, 2020","43,842","43,450","44,190","43,212",0.40K,0.62%
"Mar 27, 2020","43,571","42,800","43,760","42,800",4.80K,0.07%
"Mar 26, 2020","43,542","42,001","44,535","41,430",7.07K,3.14%
"Mar 25, 2020","42,217","41,379","42,785","40,811",7.59K,2.03%
"Mar 24, 2020","41,379","42,184","42,184","39,929",12.74K,0.52%
"Mar 23, 2020","41,163","40,721","41,310","39,765",13.22K,1.99%
"Mar 20, 2020","40,358","39,900","40,948","39,838",15.28K,1.32%
"Mar 19, 2020","39,831","39,307","40,099","39,052",14.77K,0.27%
"Mar 18, 2020","39,723","40,127","40,447","39,318",22.19K,-1.29%
"Mar 17, 2020","40,244","39,489","40,934","38,650",24.02K,1.84%
"Mar 16, 2020","39,518","40,982","41,199","38,400",37.15K,-2.06%
"Mar 13, 2020","40,348","41,750","42,070","40,055",25.32K,-4.40%
"Mar 12, 2020","42,206","43,302","43,637","41,567",28.70K,-2.65%
"Mar 11, 2020","43,355","43,744","43,875","43,275",14.84K,-0.88%
"Mar 10, 2020","43,740","43,836","43,941","43,530",9.60K,-1.38%
"Mar 09, 2020","44,353","44,575","44,772","43,851",21.98K,0.44%
"Mar 06, 2020","44,158","44,574","44,961","43,432",35.39K,-0.67%
"Mar 05, 2020","44,458","43,504","44,503","43,243",22.50K,2.04%
"Mar 04, 2020","43,569","43,357","43,778","43,293",20.04K,0.22%
"Mar 03, 2020","43,474","41,927","43,517","41,873",26.80K,3.62%
"Mar 02, 2020","41,956","41,738","42,343","41,646",22.69K,1.35%
"Feb 28, 2020","41,397","42,670","42,747","41,275",34.99K,-2.33%
"Feb 27, 2020","42,385","42,640","42,976","42,322",20.94K,-0.28%
"Feb 26, 2020","42,504","42,536","42,854","42,100",19.75K,-0.66%
"Feb 25, 2020","42,788","43,176","43,176","42,371",26.43K,-1.82%
"Feb 24, 2020","43,580","42,932","43,788","42,932",25.49K,2.14%
"Feb 21, 2020","42,666","42,210","42,790","42,210",13.35K,1.49%
"Feb 20, 2020","42,039","41,651","42,158","41,500",19.36K,1.09%
"Feb 19, 2020","41,586","41,408","41,619","41,350",13.65K,0.40%
"Feb 18, 2020","41,420","40,900","41,480","40,900",14.83K,1.63%
"Feb 17, 2020","40,756","40,889","40,925","40,720",6.98K,-0.54%
"Feb 14, 2020","40,979","40,601","41,010","40,573",10.12K,0.79%
"Feb 13, 2020","40,656","40,551","40,700","40,513",9.87K,0.42%
"Feb 12, 2020","40,484","40,431","40,549","40,306",9.98K,0.18%
"Feb 11, 2020","40,410","40,566","40,577","40,300",11.52K,-0.66%
"Feb 10, 2020","40,679","40,566","40,715","40,514",8.34K,0.09%
"Feb 07, 2020","40,644","40,393","40,724","40,302",13.03K,0.73%
"Feb 06, 2020","40,351","40,081","40,421","40,030",11.32K,0.44%
"Feb 05, 2020","40,175","40,201","40,280","40,000",0.01K,-0.32%
"Feb 04, 2020","40,302","40,408","40,500","40,112",0.02K,-0.88%
"Feb 03, 2020","40,661","41,011","41,050","40,371",0.09K,-1.32%
"Feb 01, 2020","41,206","41,035","41,297","40,820",3.49K,0.50%
"Jan 31, 2020","41,000","41,014","41,145","40,571",0.98K,0.06%
"Jan 30, 2020","40,975","40,486","41,068","40,472",5.91K,1.55%
"Jan 29, 2020","40,350","40,111","40,458","40,066",12.11K,0.27%
"Jan 28, 2020","40,242","40,562","40,608","40,156",13.19K,-0.85%
"Jan 27, 2020","40,585","40,500","40,810","40,480",13.93K,0.58%
"Jan 24, 2020","40,352","40,214","40,440","39,951",14.74K,0.17%
"Jan 23, 2020","40,283","39,904","40,311","39,836",12.42K,0.93%
"Jan 22, 2020","39,913","39,817","39,974","39,752",9.30K,0.01%
"Jan 21, 2020","39,911","40,090","40,176","39,675",14.86K,-0.09%
"Jan 20, 2020","39,947","39,900","40,000","39,880",7.12K,0.00%
"Jan 17, 2020","39,946","39,730","39,983","39,702",10.63K,0.66%
"Jan 16, 2020","39,686","39,655","39,775","39,588",9.42K,0.19%
"Jan 15, 2020","39,611","39,646","39,708","39,477",10.79K,0.42%
"Jan 14, 2020","39,447","39,500","39,530","39,262",12.16K,-0.25%
"Jan 13, 2020","39,546","39,722","39,801","39,523",13.48K,-0.82%
"Jan 10, 2020","39,871","39,718","39,913","39,568",15.61K,0.10%
"Jan 09, 2020","39,830","40,036","40,144","39,610",18.79K,-0.70%
"Jan 08, 2020","40,110","40,946","41,293","39,922",29.94K,-1.36%
"Jan 07, 2020","40,663","40,350","40,693","40,203",16.49K,0.47%
"Jan 06, 2020","40,472","40,250","41,096","40,250",21.49K,0.90%
"Jan 03, 2020","40,112","39,500","40,143","39,500",20.36K,2.13%
"Jan 02, 2020","39,277","39,051","39,400","39,041",14.13K,0.54%
"Jan 01, 2020","39,067","39,108","39,113","38,957",2.81K,-0.10%
"Dec 31, 2019","39,108","39,053","39,270","39,011",11.48K,0.35%
"Dec 30, 2019","38,971","39,067","39,090","38,904",10.61K,-0.28%
"Dec 27, 2019","39,080","38,930","39,095","38,787",11.85K,0.51%
"Dec 26, 2019","38,882","38,635","38,948","38,635",14.26K,0.63%
"Dec 24, 2019","38,639","38,330","38,667","38,292",10.75K,1.00%
"Dec 23, 2019","38,257","38,040","38,287","38,040",9.44K,0.70%
"Dec 20, 2019","37,991","38,040","38,120","37,951",9.20K,-0.31%
"Dec 19, 2019","38,109","37,959","38,130","37,860",10.52K,0.52%
"Dec 18, 2019","37,912","37,959","37,995","37,802",10.14K,-0.07%
"Dec 17, 2019","37,940","37,869","37,980","37,845",10.38K,0.18%
"Dec 16, 2019","37,871","37,725","37,967","37,725",11.17K,0.26%
"Dec 13, 2019","37,773","37,466","37,840","37,466",16.52K,0.61%
"Dec 12, 2019","37,544","37,770","38,068","37,470",19.75K,-0.41%
"Dec 11, 2019","37,699","37,580","37,738","37,520",9.23K,0.34%
"Dec 10, 2019","37,571","37,677","37,700","37,534",10.37K,-0.03%
"Dec 09, 2019","37,583","37,679","37,698","37,563",7.35K,-0.31%
"Dec 06, 2019","37,699","38,011","38,119","37,655",12.24K,-1.41%
"Dec 05, 2019","38,237","38,850","38,850","38,192",0.01K,0.16%
"Dec 04, 2019","38,176","38,331","38,450","38,140",0.07K,-0.19%
"Dec 03, 2019","38,250","37,930","38,768","37,880",0.05K,0.79%
"Dec 02, 2019","37,952","37,717","38,028","37,100",0.48K,-0.21%
"Nov 29, 2019","38,031","37,782","38,114","37,693",5.66K,0.82%
"Nov 28, 2019","37,723","37,573","37,748","37,540",8.53K,0.53%
"Nov 27, 2019","37,525","37,690","37,690","37,482",11.04K,-0.51%
"Nov 26, 2019","37,718","37,696","37,777","37,520",12.28K,-0.01%
"Nov 25, 2019","37,723","37,935","37,935","37,705",11.46K,-0.45%
"Nov 22, 2019","37,895","37,929","38,135","37,871",12.41K,-0.15%
"Nov 21, 2019","37,953","38,155","38,193","37,920",11.85K,-0.53%
"Nov 20, 2019","38,155","38,220","38,330","38,001",14.62K,-0.13%
"Nov 19, 2019","38,205","38,230","38,230","37,920",13.86K,-0.06%
"Nov 18, 2019","38,229","37,918","38,247","37,791",14.48K,0.62%
"Nov 15, 2019","37,994","38,236","38,236","37,921",10.43K,-0.71%
"Nov 14, 2019","38,266","38,060","38,318","38,059",13.32K,0.44%
"Nov 13, 2019","38,097","37,787","38,148","37,781",14.24K,1.00%
"Nov 12, 2019","37,720","37,680","37,793","37,522",7.61K,0.11%
"Nov 11, 2019","37,680","37,687","37,848","37,510",11.49K,-0.02%
"Nov 08, 2019","37,687","37,747","37,869","37,477",15.03K,0.30%
"Nov 07, 2019","37,575","38,245","38,245","37,520",18.90K,-1.76%
"Nov 06, 2019","38,247","37,906","38,286","37,906",12.14K,0.97%
"Nov 05, 2019","37,881","38,369","38,396","37,851",16.01K,-1.54%
"Nov 04, 2019","38,472","38,391","38,510","38,331",8.95K,0.42%
"Nov 01, 2019","38,310","38,500","38,546","38,265",11.75K,-0.69%
"Oct 31, 2019","38,578","38,105","38,603","38,037",15.13K,1.29%
"Oct 30, 2019","38,088","37,920","38,129","37,894",10.37K,0.45%
"Oct 29, 2019","37,916","37,939","38,045","37,801",10.85K,-0.02%
"Oct 28, 2019","37,922","38,283","38,283","37,895",6.37K,-0.92%
"Oct 27, 2019","38,275","38,319","38,340","38,260",0.97K,0.02%
"Oct 25, 2019","38,269","38,332","38,618","38,215",15.00K,-0.22%
"Oct 24, 2019","38,352","38,036","38,372","37,990",12.86K,0.92%
"Oct 23, 2019","38,003","37,944","38,099","37,944",10.71K,0.32%
"Oct 22, 2019","37,881","37,883","37,950","37,822",11.33K,-0.02%
"Oct 21, 2019","37,890","38,010","38,090","37,867",7.97K,-0.52%
"Oct 18, 2019","38,089","38,142","38,194","37,965",12.56K,-0.28%
"Oct 17, 2019","38,196","38,181","38,233","37,972",14.51K,-0.06%
"Oct 16, 2019","38,219","38,137","38,240","37,937",17.58K,0.48%
"Oct 15, 2019","38,036","38,235","38,425","37,972",16.35K,-0.50%
"Oct 14, 2019","38,226","37,894","38,280","37,771",14.54K,1.01%
"Oct 11, 2019","37,845","38,002","38,350","37,691",17.31K,-0.82%
"Oct 10, 2019","38,159","38,526","38,545","38,077",14.45K,-0.88%
"Oct 09, 2019","38,497","38,451","38,574","38,272",12.08K,0.30%
"Oct 08, 2019","38,383","38,320","38,599","38,225",6.95K,0.68%
"Oct 07, 2019","38,123","38,410","38,470","38,037",11.49K,0.18%
"Oct 04, 2019","38,055","37,925","38,350","37,837",0.05K,0.17%
"Oct 03, 2019","37,990","37,825","38,099","37,735",0.13K,1.82%
"Oct 01, 2019","37,311","37,003","37,513","36,771",1.47K,1.08%
"Sep 30, 2019","36,913","37,550","37,640","36,832",8.65K,-2.22%
"Sep 27, 2019","37,750","37,753","37,836","37,310",15.49K,-0.12%
"Sep 26, 2019","37,794","37,688","37,849","37,452",15.44K,0.51%
"Sep 25, 2019","37,602","38,072","38,194","37,485",15.54K,-1.33%
"Sep 24, 2019","38,108","37,825","38,190","37,770",14.29K,0.49%
"Sep 23, 2019","37,924","37,800","37,974","37,731",12.09K,0.60%
"Sep 20, 2019","37,697","37,714","37,750","37,438",12.82K,0.03%
"Sep 19, 2019","37,686","37,756","37,787","37,532",13.39K,-0.43%
"Sep 18, 2019","37,849","37,946","37,965","37,734",13.06K,-0.44%
"Sep 17, 2019","38,016","38,050","38,179","37,861",14.94K,-0.43%
"Sep 16, 2019","38,180","37,774","38,215","37,774",14.95K,1.75%
"Sep 13, 2019","37,524","37,728","37,892","37,449",15.76K,-0.60%
"Sep 12, 2019","37,750","37,898","38,228","37,662",22.44K,-0.59%
"Sep 11, 2019","37,974","38,207","38,259","37,930",19.75K,-0.73%
"Sep 10, 2019","38,253","38,355","38,495","38,205",10.77K,-0.57%
"Sep 09, 2019","38,472","38,553","38,697","38,272",17.76K,-0.21%
"Sep 06, 2019","38,553","38,800","38,978","38,376",22.37K,-0.88%
"Sep 05, 2019","38,894","39,582","39,628","38,514",22.37K,-2.33%
"Sep 04, 2019","39,823","39,651","39,885","39,358",18.67K,0.36%
"Sep 03, 2019","39,680","38,915","39,740","38,898",20.76K,1.52%
"Sep 02, 2019","39,087","38,859","39,119","38,846",5.78K,1.11%
"Aug 30, 2019","38,656","38,650","38,948","38,611",15.84K,-0.38%
"Aug 29, 2019","38,803","39,180","39,425","38,675",19.97K,-0.92%
"Aug 28, 2019","39,165","38,947","39,290","38,861",15.77K,0.31%
"Aug 27, 2019","39,044","38,797","39,084","38,713",16.11K,0.56%
"Aug 26, 2019","38,828","39,134","39,340","38,800",19.72K,0.16%
"Aug 23, 2019","38,765","38,052","38,821","37,960",19.26K,1.57%
"Aug 22, 2019","38,165","37,950","38,220","37,916",14.09K,0.45%
"Aug 21, 2019","37,993","37,903","38,041","37,814",12.26K,-0.03%
"Aug 20, 2019","38,004","37,750","38,077","37,678",15.15K,0.48%
"Aug 19, 2019","37,823","37,737","37,888","37,605",15.66K,-0.30%
"Aug 16, 2019","37,938","38,143","38,220","37,705",14.76K,-0.59%
"Aug 14, 2019","38,163","37,788","38,340","37,693",18.59K,1.03%
"Aug 13, 2019","37,775","38,449","38,666","37,344",23.67K,-1.22%
"Aug 12, 2019","38,241","38,257","38,349","38,152",5.25K,0.66%
"Aug 09, 2019","37,992","37,976","38,148","37,815",13.01K,0.62%
"Aug 08, 2019","37,757","37,994","38,090","37,624",15.11K,-1.21%
"Aug 07, 2019","38,218","37,830","38,488","37,613",25.09K,1.92%
"Aug 06, 2019","37,497","37,327","37,530","36,921",17.11K,2.70%
"Aug 05, 2019","36,511","36,192","36,540","36,020",0.57K,2.63%
"Aug 02, 2019","35,577","34,997","35,644","34,947",0.48K,1.89%
"Aug 01, 2019","34,916","34,297","35,141","34,265",2.28K,1.16%
"Jul 31, 2019","34,517","34,543","34,666","34,415",8.94K,-0.03%
"Jul 30, 2019","34,529","34,704","34,773","34,291",15.64K,-0.52%
"Jul 29, 2019","34,709","34,750","34,830","34,670",9.33K,-0.18%
"Jul 26, 2019","34,773","34,819","34,976","34,723",10.05K,-0.13%
"Jul 25, 2019","34,817","35,000","35,117","34,780",13.43K,-0.60%
"Jul 24, 2019","35,027","35,049","35,094","34,925",10.48K,0.02%
"Jul 23, 2019","35,021","35,000","35,150","34,886",12.59K,-0.32%
"Jul 22, 2019","35,132","35,109","35,206","35,050",8.96K,0.27%
"Jul 19, 2019","35,036","35,321","35,409","35,000",17.76K,-0.34%
"Jul 18, 2019","35,156","35,050","35,191","34,880",17.46K,0.19%
"Jul 17, 2019","35,090","34,787","35,139","34,682",17.50K,0.80%
"Jul 16, 2019","34,812","34,883","34,946","34,710",20.54K,-0.20%
"Jul 15, 2019","34,882","34,897","34,969","34,768",13.91K,-0.07%
"Jul 12, 2019","34,905","34,742","34,950","34,708",16.23K,0.59%
"Jul 11, 2019","34,701","34,939","35,145","34,675",20.84K,-0.40%
"Jul 10, 2019","34,839","34,532","34,885","34,370",20.29K,0.74%
"Jul 09, 2019","34,582","34,525","34,626","34,340",17.01K,0.01%
"Jul 08, 2019","34,579","34,550","34,828","34,510",15.27K,-0.01%
"Jul 05, 2019","34,583","34,250","35,100","34,205",42.52K,1.07%
"Jul 04, 2019","34,217","34,300","34,315","34,125",12.11K,-0.08%
"Jul 03, 2019","34,246","34,280","34,499","34,188",18.30K,0.60%
"Jul 02, 2019","34,042","33,691","34,070","33,691",13.97K,1.19%
"Jul 01, 2019","33,643","34,138","34,138","33,620",18.75K,-1.65%
"Jun 28, 2019","34,206","34,484","34,484","34,152",15.20K,0.09%
"Jun 27, 2019","34,175","34,333","34,333","34,030",12.76K,-0.62%
"Jun 26, 2019","34,387","34,465","34,465","34,176",18.94K,-0.49%
"Jun 25, 2019","34,556","34,490","34,893","34,396",26.63K,0.33%
"Jun 24, 2019","34,441","34,290","34,475","34,254",14.78K,0.80%
"Jun 21, 2019","34,167","34,070","34,468","33,900",22.92K,0.41%
